ASV_ID,Placement_Global,Placement_CyanoPlastid,Placement_Cyanobacteria,Placement_Prochlorococcus,Placement_Synechococcus,Placement_Plastids,Placement_Stramenopiles,Placement_Dictyochophytes,Placement_Pelagophytes,Placement_Viridiplantae,Placement_Prasinophytes
fba0eeab877946c5f5b6ba2e7a7dc388,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f444daf821c18e01ee9bd147d906707a,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f3b5fcdae981490cce0a886714cf317b,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cf0436697a06554d613c913a41fc9a75,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b3e74f0258595950ced518ef7f3f3012,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5fa6b2085b9841c2013c9e6a2f68f9b4,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461e4a31f0478b19cec4446661505c15,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0d47811d149ea00493a71f52fd58e407,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d6af196bbf2c7208d15bfc0387c57618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87fc98e9aaf5d4296ea14051f13fcd21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e2c9fe5ad5f01583d57014a6c2e5e8f9,Psychrobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6b66d877113656eb5c6bcab1ec4b1be7,Psychrobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3427ce4f8432d96fc261165a1f3dbf64,Psychrobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3159c233b409263ebfdffb78e8aa364,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f7583ae63eb816061ea010fbfe1b3645,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
daa076a99c2f018ea79f4865cfd5d3a8,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6d3e3261c4450e34e6e6c67cc54b76d,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4653c4907a4f883064e8af7d12432e14,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c24a40c0e52694b9e57aa6337c44c80e,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f93cc6447c173f98761698afcb79ee51,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1edce5ee2d9e15cdf9c0b9bfb1841e1,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57e8d51653071e493d93c00b104a92a8,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4d1c968df2d2092f2e4e5873f609ea2f,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0971f11695b395024b70edbe42174712,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1bb636560dbb13bf7160e8a6698fc7d3,Pseudomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b874ca98a65d07bbbc36477fd5274571,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4a9efc35d4640c947f6723996e271010,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f95d717087094e9b2f9871f3425c3000,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cd062c0fa3502fa8c8ec153e560f4310,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9f959e4d84eb8a6b3d2818c8adc3a24,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1737fbb70d305543a3bd9d88e72769f,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81764ef2e3ba86718fc9df048defc88d,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10db1c24829f0fe600c73e1cc3c3bc6a,SAR92_clade_OMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eae4a4654dcc764323ea35bbd2a730f2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e511c46a9d3a73f0ab8f5cf8744b9a4b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c075c15b6e91f2275a34a338bffec542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0d9bb5c9b8599025d34f42bad0f4c8bb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
