ASV_ID,Bengal-C10N17,Bengal-C10N23,Bengal-C11N11,Bengal-C11N23,Bengal-C12N13A,Bengal-C12N13B,Bengal-C12N23A,Bengal-C12N23B,Bengal-C13N11,Bengal-C13N23,Bengal-C14N10A,Bengal-C14N10B,Bengal-C14N23A,Bengal-C14N23B,Bengal-C15N23A,Bengal-C15N23B,Bengal-C16N11,Bengal-C16N23,Bengal-C17N15,Bengal-C17N23,Bengal-C18N17,Bengal-C18N23,Bengal-C1N17,Bengal-C1N23,Bengal-C2N17,Bengal-C2N23,Bengal-C3N17,Bengal-C3N23,Bengal-C4N17A,Bengal-C4N17B,Bengal-C4N17C,Bengal-C4N23,Bengal-C5N13,Bengal-C5N23,Bengal-C6N17,Bengal-C6N23,Bengal-C7N13,Bengal-C7N23,Bengal-C8N13,Bengal-C8N23,Bengal-C9N11,Bengal-C9N23
27975e13ae1c219bf79fa45049f82552,0,0,0,24,0,0,39,86,0,0,0,0,0,0,20,0,0,61,0,164,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
47f6d3369793c854ec817419e9cf8b8d,0,0,0,0,0,0,0,206,0,0,0,0,11,0,0,0,0,40,0,94,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0
2ad467c24c2566431621dd047e773be6,103,0,0,0,81,0,0,0,0,0,128,0,0,0,0,0,0,0,44,0,40,0,22,0,0,0,0,0,0,0,0,0,0,0,64,0,51,0,64,0,0,0
d00067969eecc58c967f1604a8788edc,11,0,3,0,105,11,0,0,47,0,20,0,0,0,0,0,0,0,70,0,15,0,0,0,0,0,6,0,0,34,5,0,0,52,93,0,96,0,6,0,22,0
16294720c5a4a677c56b23a3966451da,33,0,5,0,46,6,0,0,0,0,102,39,0,0,0,0,26,0,34,0,28,0,0,0,0,0,0,0,5,49,6,0,0,0,89,0,37,0,31,0,59,0
5fb9ed3762017d0dde55c93cd68bc3d7,0,0,0,0,374,43,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0,0,0,0,0,34,0,24,0
65f1cf9c540054ee186321e12be69a2b,20,0,0,0,77,29,0,0,77,0,36,0,0,0,0,0,37,0,27,0,50,0,0,0,0,0,0,0,0,22,0,0,0,23,30,0,72,0,55,0,38,0
11439811138998f76ad50cfb8896dd4c,58,0,0,0,75,0,0,0,0,0,69,0,0,0,0,0,52,0,44,0,26,0,0,0,0,0,0,0,13,46,0,0,0,40,94,0,0,0,34,0,40,0
85f15f4fd05d084c38ecd9e713e37a49,0,111,0,67,0,0,0,191,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,19,0,103,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf6a3a7b7c07856a4d02cac6a00f6966,7,0,0,16,438,68,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0
