name	edge_num	taxon	like_weight_ratio
seq33302	470	chr	0.333346
seq13725	469	chr	0.333774
seq490	469	chr	0.333774
seq59906	469	chr	0.333772
seq20711	469	chr	0.333746
seq41693	467	chr	0.61286
seq50984	464	chr	0.142981
seq492	464	chr	0.143
seq13481	467	chr	0.688361
seq13658	467	chr	0.639142
seq55203	464	chr	0.142979
seq12956	467	chr	0.573467
seq21222	501	chr	0.153139
seq19365	467	chr	0.608473
seq55068	464	chr	0.143
seq2849	467	chr	0.573691
seq26981	458	pha	1
seq3020	458	pha	1
seq25506	458	pha	1
seq8917	447	xan	0.985385
seq5583	447	xan	0.98511
seq7387	458	pha	0.886343
seq29546	458	pha	0.87644
seq63421	447	xan	0.707907
seq3855	529	chr	0.354493
seq3769	422	eus_clade_B	1
seq36617	422	eus_clade_B	0.980012
seq9372	422	eus_clade_B	0.979713
seq37711	420	eus_clade_B	0.746056
seq1454	420	eus_clade_B	0.940755
seq49058	421	eus_clade_B	0.557243
seq33793	420	eus_clade_B	0.929998
seq42922	420	eus_clade_B	0.333559
seq3145	420	eus_clade_B	0.669418
seq4217	420	eus_clade_B	0.821517
seq57427	420	eus_clade_B	0.333588
seq987	420	eus_clade_B	0.333436
seq57149	425	eus	0.233188
seq6953	458	pha	0.506807
seq37356	400	pin	1
seq8332	400	pin	1
seq62927	400	pin	1
seq59566	400	pin	0.953278
seq14154	528	chr	0.177276
seq18021	516	chr	0.171762
seq22423	529	chr	0.686611
seq22167	529	chr	0.524247
seq5619	390	pel_clade_B	0.984311
seq57542	390	pel_clade_B	1
seq5612	390	pel_clade_B	0.981037
seq8351	390	pel_clade_B	1
seq5307	390	pel_clade_B	0.983836
seq13567	390	pel_clade_B	0.981267
seq64473	499	chr	0.38773
seq58124	390	pel_clade_B	1
seq54667	390	pel_clade_B	0.97825
seq42598	390	pel_clade_B	0.974055
seq18823	387	pel_clade_B	1
seq7499	390	pel_clade_B	0.988916
seq54801	383	pel_clade_B	0.200029
seq9139	385	pel_clade_B	0.200023
seq4959	387	pel_clade_B	0.374812
seq37894	383	pel_clade_B	0.200038
seq4571	383	pel_clade_B	0.200093
seq54829	383	pel_clade_B	0.200025
seq10817	390	pel_clade_B	0.96696
seq41554	383	pel_clade_B	0.20004
seq17884	385	pel_clade_B	0.20002
seq41719	383	pel_clade_B	0.200056
seq32351	390	pel_clade_B	0.766821
seq12514	387	pel_clade_B	0.674507
seq7257	387	pel_clade_B	0.874106
seq40731	387	pel_clade_B	0.28139
seq10974	390	pel_clade_B	0.937684
seq12307	387	pel_clade_B	0.280335
seq27259	383	pel_clade_B	0.200039
seq28984	387	pel_clade_B	0.636699
seq18118	387	pel_clade_B	0.658239
seq56544	387	pel_clade_B	0.654531
seq58889	380	pel_clade_B	0.333588
seq465	380	pel_clade_B	0.333591
seq42497	380	pel_clade_B	0.33358
seq738	380	pel_clade_B	0.33359
seq58976	380	pel_clade_B	0.333588
seq52228	387	pel_clade_B	0.650872
seq56557	387	pel_clade_B	0.847572
seq2040	389	pel_clade_B	0.637335
seq32207	389	pel_clade_B	0.296578
seq5766	387	pel_clade_B	0.639153
seq41775	389	pel_clade_B	0.780498
seq7468	387	pel_clade_B	0.511986
seq51805	377	pel_clade_B	0.30959
seq51865	377	pel_clade_B	0.630414
seq60668	377	pel_clade_B	0.574977
seq3192	377	pel_clade_B	0.30065
seq58715	377	pel_clade_B	0.60062
seq12954	375	pel_clade_B	1
seq63513	377	pel_clade_B	0.442008
seq42145	387	pel_clade_B	0.203657
seq28393	387	pel_clade_B	0.387164
seq57535	375	pel_clade_B	0.304581
seq11415	375	pel_clade_B	0.304172
seq4553	382	pel_clade_B	0.144737
seq59528	387	pel_clade_B	0.313299
seq6594	375	pel_clade_B	0.793188
