name	edge_num	taxon	like_weight_ratio
seq28197	872	vir	1
seq14271	872	vir	1
seq62090	922	vir	0.37131
seq10485	889	vir	0.73185
seq36291	872	vir	0.735412
seq57537	872	vir	1
seq23671	882	vir	0.385841
seq37197	965	vir	0.479023
seq37229	872	vir	0.329257
seq23128	872	vir	0.276928
seq8091	962	vir	0.265725
seq41264	872	vir	1
seq9537	890	vir	0.328401
seq54773	922	vir	0.325402
seq42503	1377	mel	0.906301
seq23602	873	vir	0.471989
seq6880	922	vir	0.271816
seq7021	896	vir	0.532333
seq41556	889	vir	0.274504
seq41725	922	vir	0.369806
seq57314	872	vir	1
seq42934	889	vir	0.274197
seq13873	1347	cya_pse	0.400946
seq22383	896	vir	0.259457
seq13266	890	vir	0.522134
seq9343	1144	cya	0.477757
seq11003	886	vir	0.515243
seq23847	889	vir	0.319326
seq61665	872	vir	0.917527
seq8762	889	vir	0.713297
seq29138	882	vir	0.638761
seq21232	890	vir	0.363823
seq9602	872	vir	1
seq7369	922	vir	0.310846
seq22620	872	vir	1
seq8870	872	vir	0.451402
seq10537	974	vir	0.427504
seq10246	917	vir	0.34214
seq21194	872	vir	1
seq9134	963	vir	0.678038
seq42684	967	vir	0.82211
seq42959	896	vir	0.815444
seq61613	974	vir	0.373643
seq20793	962	vir	0.298554
seq23256	872	vir	1
seq10860	1375	mel	0.311615
seq21595	923	vir	0.263788
seq10255	973	vir	0.487513
seq6001	871	vir	0.681273
seq22037	973	vir	0.37155
seq42364	990	vir	0.850571
seq36606	871	vir	0.906767
seq42557	907	vir	0.47642
seq21223	890	vir	0.604284
seq62299	872	vir	0.170127
seq62565	973	vir	0.472542
seq65075	871	vir	0.35109
seq41923	964	vir	0.348362
seq41986	889	vir	0.738813
seq9240	964	vir	0.414654
seq32374	990	vir	0.294295
seq9844	871	vir	0.712052
seq57634	872	vir	0.176677
seq32239	871	vir	0.709821
seq61463	973	vir	0.79994
seq57716	868	vir	0.8629
seq17744	868	vir	0.847707
seq7584	868	vir	0.786905
seq23875	868	vir	0.786179
seq9979	868	vir	0.845327
seq31574	868	vir	0.912349
seq21947	853	vir	0.615566
seq54776	853	vir	0.615809
seq20538	923	vir	0.262021
seq35726	922	vir	0.223708
seq33210	1354	cya_glo	0.511224
seq14035	882	vir	0.769539
seq57141	1033	vir	0.267593
seq56227	1033	vir	0.21344
seq7339	1039	gla	0.283895
seq62336	1033	vir	0.175075
seq33270	1038	gla	0.763388
seq44416	1038	gla	0.738989
seq32519	1353	cya_glo	0.323959
seq26086	1353	cya_glo	0.313785
seq55254	872	vir	0.39721
seq7595	872	vir	0.69826
seq8458	827	rho	0.98687
seq5013	827	rho	0.645026
seq23598	827	rho	1
seq37191	827	rho	0.471157
seq37803	827	rho	1
seq58121	827	rho	0.964911
seq30093	827	rho	0.935525
seq9661	827	rho	0.97745
seq37183	827	rho	1
seq55255	827	rho	0.97226
seq64215	827	rho	0.255184
seq8618	827	rho	0.937162
seq3557	819	cry	1
seq17415	819	cry	1
seq2042	819	cry	1
seq30988	819	cry	1
seq39365	819	cry	1
seq61737	819	cry	1
seq55161	819	cry	0.988568
seq20719	819	cry	1
seq2051	819	cry	0.988613
seq18756	819	cry	1
seq32748	818	cry	0.200122
seq1221	819	cry	0.185049
seq21522	819	cry	0.516195
seq1076	822	cry	0.201363
seq39962	819	cry	0.904355
seq40333	815	cry	0.194334
seq434	819	cry	0.556066
seq54130	815	cry	0.598025
seq41205	816	cry	0.204146
seq41256	926	vir	0.619395
seq10038	970	vir	0.335301
seq18885	805	cry	1
seq6000	802	cry	1
seq5328	802	cry	1
seq6163	802	cry	0.970446
seq54863	810	cry	0.220887
seq63399	808	cry	0.64684
seq4551	810	cry	0.221507
seq17631	810	cry	0.220991
seq55162	1030	vir	0.247004
seq2790	794	str	1
seq62817	794	str	1
seq20891	791	str	1
seq810	791	str	1
seq14154	791	str	0.289133
seq60069	791	str	1
seq3284	791	str	1
seq2857	791	str	1
seq13142	792	str	0.841195
seq21585	791	str	1
seq20000	791	str	1
seq35283	791	str	1
seq18795	792	str	0.754221
seq61907	791	str	1
seq7502	791	str	1
seq54455	791	str	1
seq54281	791	str	1
seq1254	791	str	1
seq421	791	str	1
seq33419	791	str	1
seq56711	791	str	0.97731
seq52723	791	str	1
